url,imgAlt,imgSrc
/p/C_lYI-RJLeP/,"Photo by McDonald’s on September 06, 2024. May be a meme of french fries and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457871712_3696248027283569_108547282249627469_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=4z4tlUce0ysQ7kNvgG5prbV&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ1MTI3MDg1OTE4MTA0NTY0Nw%3D%3D.3-ccb7-5&oh=00_AYAaxEJ-DC7plwpRy7-iFryInPTc78q2031_8K32kCqQWg&oe=66E2B123&_nc_sid=8f1549
/p/C_gHJRRpx41/,20 pics for 20 pieces <3,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/458290905_523861380177995_5830013103431428461_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=DgswkHeAHZoQ7kNvgGCuIbZ&_nc_gid=d4cb9d9949f54a768c67fafdff39e6f1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0OTc4ODcyMjU4MTg5Mzg3Mw%3D%3D.3-ccb7-5&oh=00_AYBLxU94ad_Sb6vmuxy3n8W2TII6HUFdwR7Nf1K53GzI8A&oe=66E2B66C&_nc_sid=8f1549
/p/C_TMJBapBKl/,"Photo by McDonald’s on August 30, 2024. May be a meme of orca, dolphin and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457147865_978595417284362_9068659756638600532_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44NjB4MTA3NS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=lO3SB43QzSgQ7kNvgF6K_x3&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NjE1MTUzNjQyMjY4NzM5Nw%3D%3D.3-ccb7-5&oh=00_AYCDFbj3GMkW_GaXFwCh2KnW9q-gq5S2hmoqoUS1z6CB2A&oe=66E2B962&_nc_sid=8f1549
/p/C_LcGf_px6P/,"Photo by McDonald’s on August 27, 2024. May be a meme of english muffin and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457072225_1481489875891480_1679202967992061196_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45Mzd4MTE3MS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=G69s7LnJjdkQ7kNvgGOml-U&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0Mzk2OTkzMjAyNzk2MDk3NQ%3D%3D.3-ccb7-5&oh=00_AYC1MMhbSVknS1VwZSGOQI9c3SbzmuNtlkDyKJNOM9Q8zQ&oe=66E2A33A&_nc_sid=8f1549
/p/C-5xJJppaSE/,"Photo shared by McDonald’s on August 20, 2024 tagging @hellokitty, @theofficialyugioh, and @officialyugiohtcg. May be an image of lego and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/455900097_826686702915877_2141261264630560076_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WA321aJ4MWAQ7kNvgHFvlCy&_nc_gid=d4cb9d9949f54a768c67fafdff39e6f1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzODk5NTkyMzU5MDgxNjkwMA%3D%3D.3-ccb7-5&oh=00_AYCXt6i0h_ofb_KZBVHTjhaUacdE-llihiXfj69cliFDSw&oe=66E2BB3D&_nc_sid=8f1549
/reel/C-vCsahpOvG/,me n who?,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/455676617_1016053706501539_6001353116529907910_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=MqrzyT0uW3wQ7kNvgFjMXDM&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzNTk3Njg4ODkzODcyMDE5OA%3D%3D.3-ccb7-5&oh=00_AYDnW6EYxzoyh1nBMcb5--HFXsrF3Mn9ioVK0GlqsrsVXg&oe=66E2B8FF&_nc_sid=8f1549
/p/C-s2JRapCs0/,"loving Grimace in all his forms, Collector’s Meal is out now",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/455946632_469576992557297_2223429661420459933_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ftiumm7dDW0Q7kNvgFRh7cZ&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzNTM1ODczODAzNTYxNDcwMA%3D%3D.3-ccb7-5&oh=00_AYBNibnsd0Oa-2NtiUqH18wp7rCyI-dS0FkHSNphQ67q7A&oe=66E2AA68&_nc_sid=8f1549
/p/C-nHFb0p7bn/,impossible to pick a fave. Get 1 of 6 collector’s cups today with the Collector’s Meal before it’s gone.,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/455225126_805213094936149_5928276176055964562_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=NY9Q0oiIDGcQ7kNvgGzCrX4&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzMzc0NDM5NDIzOTc2OTM2Nw%3D%3D.3-ccb7-5&oh=00_AYD3YnbeQE9ehSFPVYnK-UR7_UdxbV4KqjhIR2-JwNoOpA&oe=66E2B83D&_nc_sid=8f1549
/p/C-XqtfgpJ8Y/,"Photo shared by McDonald’s on August 07, 2024 tagging @hellokitty, @barbie, @cocacola, @dreamworks, @tyinc, @universalpictures, and @shrek. May be an image of candy, lego, juice, wafer and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/454488228_7962329240510632_6924234155026333707_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=i0ED5sEbYp4Q7kNvgHA0kr7&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQyOTM5NzQ4NTQyOTQ5NzYyNA%3D%3D.3-ccb7-5&oh=00_AYDAAWpjdnQ1oFzskZ7mkf4lwbo46pU0X4n_ANRGCAekaA&oe=66E2AC45&_nc_sid=8f1549
/p/C-VOC2pONFK/,ur not ready for what i’m about to spill,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/454305601_402157482410646_8973981250626410698_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=74_cH5_sq_sQ7kNvgH3s90h&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQyODcwODQ0OTE0NTg5NzAzNg%3D%3D.3-ccb7-5&oh=00_AYDKCNPo8MKuZhhL8kGzx0CF8-99WOmXLu3g1OPEsS7ulw&oe=66E2A41F&_nc_sid=8f1549
