url,imgAlt,imgSrc
/reel/C_LXnVPuxD1/,all i see is deliciousness,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457258130_1240810450269187_8656143313753668636_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=cF6ql65mx6EQ7kNvgHgMH7T&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0Mzk1MDE5Nzk5NjcyMDM3Mw%3D%3D.3-ccb7-5&oh=00_AYDMm-w1CHTb_ZNqnk9qC7s40TTdb4sZ5VjrhmCNEILLlQ&oe=66E2B422&_nc_sid=8f1549
/p/C_JAYe-uGrv/,"Photo by McDonald’s 🇨🇦 on August 26, 2024. May be an image of burger and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457072233_1042009340649932_5764279590860349943_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Yko3sipg1QsQ7kNvgEQUTai&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0MzI4NTA3MjYzMzQyNDYyMw%3D%3D.3-ccb7-5&oh=00_AYDPZstgv7ksqJM9Tpny69TEwzq5RaAUauQ7DUCME2Rakg&oe=66E2A127&_nc_sid=8f1549
/p/C_lKzmBu3Gs/,school’s in session! send this to whoever u think NEEDS to know,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457376359_495590599775394_7146739410150642607_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=NRy9_Sxm7aMQ7kNvgFIIHun&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ1MTIxMjIwNDkwMjgzMjYzOQ%3D%3D.3-ccb7-5&oh=00_AYAXx12kewmZ5gmFT1zlO-ezQD1d5VD47ws7Q77y_WoRZw&oe=66E29A26&_nc_sid=8f1549
/p/C_iiWgLOhAi/,"Photo by McDonald’s 🇨🇦 on September 05, 2024. May be a meme of text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/458595137_1257904845225984_1209753809551952709_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=kk7lCZ888qQQ7kNvgELtYEO&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ1MDQ3MTM0NDQ3NzE3OTkzOA%3D%3D.3-ccb7-5&oh=00_AYBPRw6ZcM31qMbf46LPqfZ8feyWef9vRon1_wisvwiDSQ&oe=66E2AEF8&_nc_sid=8f1549
/p/C_f4fbWOxO9/,"Photo by McDonald’s 🇨🇦 on September 04, 2024. May be an image of drink, spice, whipped cream, caramel and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457760476_1414537445885768_592198607052108527_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=IL_yXCQnRZEQ7kNvgGRIRGx&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0OTcyNDI4OTg2MTQ4OTU5Nw%3D%3D.3-ccb7-5&oh=00_AYAHongAY2fkZIYZ6S8bw6EP6NjKrZa-MOhOarhsj39VWQ&oe=66E2B4FF&_nc_sid=8f1549
/p/C_dQ-J-uHbn/,"Photo by McDonald’s 🇨🇦 on September 03, 2024. May be an image of chicken, egg, french fries, sandwich and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/458299731_548124530988692_1270042645741888011_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=tCUp8Muh5s8Q7kNvgHCcFdk&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0ODk4NzUyOTcwMzM1NjEzNQ%3D%3D.3-ccb7-5&oh=00_AYDlPP4uoNTl39l-AHxO_-pMjaRMaAF_WTDIU3G3RDQoKw&oe=66E2BDA7&_nc_sid=8f1549
/reel/C_bAXydu3G9/,wrap ur head around this one tmr,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/458166318_1716735855533042_1071487364295756432_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=NxTvgkLH8IoQ7kNvgEcbe4O&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0ODM1MTU3NDQxNjEyNjM5Nw%3D%3D.3-ccb7-5&oh=00_AYBrOwAQw8rN_rxreaPDCa5COsQIxg_5_E1TnHxgC0CJUA&oe=66E2C1EB&_nc_sid=8f1549
/p/C_X9lOZukld/,"Photo by McDonald’s 🇨🇦 on September 01, 2024. May be a meme of ice cream and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457847335_494921673302269_4290286111196193572_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45MDB4OTAwLnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=-8A4pBJxK-0Q7kNvgH4nJBl&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NzQ5NDg3ODY5NzI0NTAyMQ%3D%3D.3-ccb7-5&oh=00_AYABbqSmfn9JQIa3VVog3Npqybk8cQYNiAu8SbzlnxSOKw&oe=66E2AA8D&_nc_sid=8f1549
/reel/C_TLg6WOL0u/,the rest of the cups in ur cupboard are literally sooooooo jealous rn,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457381061_511499504862589_8920178882144102335_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=F99Y1H86DA8Q7kNvgF5v7sH&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NjE0ODc4MDA1MzI4MjA5NA%3D%3D.3-ccb7-5&oh=00_AYCUYcri1CuR0_WfOo8W_W8MiBcvqGpkQ1vAgvDo8puykA&oe=66E29C85&_nc_sid=8f1549
/reel/C_RADbav6ex/,it may soon be time to dust off ur big scarves and wide brimmed hats,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457390193_1500770370798369_7664780348470934564_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=oPa2y2zJSTYQ7kNvgFVGkm6&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NTUzNTQyNTUxMzM2NzQ3Mw%3D%3D.3-ccb7-5&oh=00_AYADnZrZds995iYm5DCZ0rMco4n4AwYkDimQWDbUIgE9qQ&oe=66E2A6AC&_nc_sid=8f1549
