url,imgAlt,imgSrc
/reel/C-FusIHudVY/,"The Lonely Ghost Way

Lonely Ghost x @wendys drops 07.31.24, 9AM MST

Limited time only at participating U.S. Wendy’s® from 07.31.24-08.07.24.  Includes 10 PC Spicy Ghost Pepper Nuggs with Ghost Pepper Ranch Dipping Sauce, Medium Fry and Medium Soft Drink.  The Wendy’s name, design and logo are registered trademarks of Quality Is Our Recipe, LLC.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/453517022_886321670041295_8964172713432727835_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4zMDAxeDUzMzQuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=M0-kZ4x2J2MQ7kNvgEKJQgw&_nc_gid=cb3baa66f535463a8bf2583b96e5b681&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQyNDM0ODQzNDIwMTE3MTI4OA%3D%3D.3-ccb7-5&oh=00_AYCcOF7-MEmnrYbs7J3CKyAorLQ3w-Ar7av-XiVxqRaj2A&oe=66E2BC89&_nc_sid=8f1549
/p/C-BYwSCR0do/,"Photo shared by Wendy's 🍔 on July 29, 2024 tagging @lonelyghost. May be an illustration of poster and text that says 'COMING SOON 00'.",https://scontent-tpe1-1.cdninstagram.com/v/t39.30808-6/453475673_18453527635031146_4983555189620332545_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=yYIld7Aqnw8Q7kNvgEANLy8&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzQyMzEyNjA2Mjc5NTAxNjA0MA%3D%3D.3-ccb7-5&oh=00_AYDfrWVzFkNAkEJgf8N1t1p0jfj6swupunb8wAYuxGFVKg&oe=66E2B6A6&_nc_sid=8f1549
/reel/C92km2ORqWZ/,that’s where the protein is,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/452321001_1423733301674884_3135124027023476663_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTgweDIwOTQuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=WrwDXikkNysQ7kNvgEXgE_1&_nc_gid=6b7aebf7b7e74070beeb1974f32795a9&edm=AFg4Q8wBAAAA&ccb=7-5&ig_cache_key=MzQyMDA4MTk2NjI3MDU1NTU0NQ%3D%3D.3-ccb7-5&oh=00_AYD4oZMIQV6IHSjJTar4AD5uDZ-m-UsVsc1mh9qu2kKCVw&oe=66E2B37D&_nc_sid=0b30b7
/reel/C9ODgseRnXB/,literally never washing this again,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/450788442_7921625037884176_321049238835475742_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTcweDIwNzYuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=HlXN4dSe50gQ7kNvgFVCykN&_nc_gid=6b7aebf7b7e74070beeb1974f32795a9&edm=AFg4Q8wBAAAA&ccb=7-5&ig_cache_key=MzQwODY3NzQwODg4MTQwNzQyNQ%3D%3D.3-ccb7-5&oh=00_AYASXRos3Wu98IodN4fbM6uZD3pfmV0aiNRrUOcz8HoASg&oe=66E2B034&_nc_sid=0b30b7
/reel/C9LBNDXxLLp/,whatchall want?,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/450395687_1185045892692493_5255956851862389369_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=fdLR_JdTXVMQ7kNvgF0f4Rv&_nc_gid=6b7aebf7b7e74070beeb1974f32795a9&edm=AFg4Q8wBAAAA&ccb=7-5&ig_cache_key=MzQwNzgyMjgzODA1NTYxMzE2MQ%3D%3D.3-ccb7-5&oh=00_AYD3NqfAzCUtJPG3_nIyp3XgQ6-oSLnXwkhIH2QP8JhADg&oe=66E29F08&_nc_sid=0b30b7
/reel/C9BWe8jRxRR/,"when u wanna win, u go messy 😤",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/449872652_2559418257564414_7761455118410146997_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTcweDIwNzYuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=q6-yOViPpyYQ7kNvgGK5RqZ&_nc_gid=6b7aebf7b7e74070beeb1974f32795a9&edm=AFg4Q8wBAAAA&ccb=7-5&ig_cache_key=MzQwNTEwMTY3Njg5MjcyMjI1Nw%3D%3D.3-ccb7-5&oh=00_AYALmlReRjlUm8Lpdc7goIhiPdgnffKGS_5ESDvIcMGGrA&oe=66E2A80D&_nc_sid=0b30b7
/reel/C8-iVpYRb9Y/,@svg97 you asked for some sauce for your race in Chicago. This work?,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/449674868_999580651719130_4379740680741698822_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTcweDIwNzYuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SsDih1yfKxsQ7kNvgHPmffl&edm=AFg4Q8wBAAAA&ccb=7-5&ig_cache_key=MzQwNDMwOTM4OTQ1OTcwMTU5Mg%3D%3D.3-ccb7-5&oh=00_AYDqtj5GU5Xt0CNxNfmOwdysiUsSmL-B_k_kbjYHByPtbA&oe=66E285DB&_nc_sid=0b30b7
/reel/C8crPaKx6xc/,kinda wanna see it chill on a bench.,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/448713498_785853426963513_3563886120304078925_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=XCoFMwHfKWcQ7kNvgGx6Q6I&edm=AFg4Q8wBAAAA&ccb=7-5&ig_cache_key=MzM5NDc3ODM5NDAyMDc4NTI0NA%3D%3D.3-ccb7-5&oh=00_AYAqfcqtOl-GcaaX-4ZW0p6R_ydAAc78HekDsKoXf7C0HQ&oe=66E2990F&_nc_sid=0b30b7
/p/C8KaFEwReQp/,"Photo by Wendy's 🍔 on June 13, 2024. May be a meme.",https://scontent-tpe1-1.cdninstagram.com/v/t39.30808-6/448394362_18444786988031146_726370668210450234_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDc5eDEwNzkuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=r61LoQ_75gUQ7kNvgFrQJ_T&edm=AFg4Q8wAAAAA&ccb=7-5&ig_cache_key=MzM4OTYzNjM2NzQ2MTI0NTk5Mw%3D%3D.3-ccb7-5&oh=00_AYCTRaBNOyksGY_vRAlUKMKn1KdUDET9JUTqsWBtmYBjCQ&oe=66E28D6D&_nc_sid=0b30b7
/p/C8FxfYBRy42/,"Photo by Wendy's 🍔 on June 11, 2024.",https://scontent-tpe1-1.cdninstagram.com/v/t39.30808-6/448237738_18444444712031146_681067055637247323_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDc5eDEwNzkuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=y5iDZ0nxsqsQ7kNvgGvOlUi&_nc_gid=6b7aebf7b7e74070beeb1974f32795a9&edm=AFg4Q8wAAAAA&ccb=7-5&ig_cache_key=MzM4ODMzMTk1NTA0MDIzNTA2Mg%3D%3D.3-ccb7-5&oh=00_AYDfUmkEx15TZciwdXq0O-f1q5o-Jf8T_M2r-IDp-QLBpg&oe=66E2BD8B&_nc_sid=0b30b7
