url,imgAlt,imgSrc,imgName
/reel/C_LXnVPuxD1/,all i see is deliciousness,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457258130_1240810450269187_8656143313753668636_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=cF6ql65mx6EQ7kNvgHgMH7T&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0Mzk1MDE5Nzk5NjcyMDM3Mw%3D%3D.3-ccb7-5&oh=00_AYDMm-w1CHTb_ZNqnk9qC7s40TTdb4sZ5VjrhmCNEILLlQ&oe=66E2B422&_nc_sid=8f1549,mcdonaldscanada_0
/p/C_JAYe-uGrv/,our biggest most McDonald’s burger is less than a day away,https://scontent.cdninstagram.com/v/t51.29350-15/457072233_1042009340649932_5764279590860349943_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=Yko3sipg1QsQ7kNvgERjTrs&_nc_gid=efb814ca50364b60aa696f8c322028fd&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzQ0MzI4NTA3MjYzMzQyNDYyMw%3D%3D.3-ccb7-5&oh=00_AYAY9Jhqgbc1u3s90Bk1zumH_wimZgFUpFdzGrumo61gIw&oe=66E2D967&_nc_sid=10d13b,mcdonaldscanada_1
/p/C_lKzmBu3Gs/,school’s in session! send this to whoever u think NEEDS to know,https://scontent.cdninstagram.com/v/t51.29350-15/457376359_495590599775394_7146739410150642607_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=106&_nc_ohc=NRy9_Sxm7aMQ7kNvgEa-GcA&_nc_gid=f5a87a2918cf4a209d411afa59fa8931&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzQ1MTIxMjIwNDkwMjgzMjYzOQ%3D%3D.3-ccb7-5&oh=00_AYBcFtKIo4vJELHOG3FhnzJQScakJdtf7lbvbAVuQp8w6A&oe=66E2D266&_nc_sid=10d13b,mcdonaldscanada_2
/p/C_iiWgLOhAi/,ur telling me u don’t want to discuss the boot shaped nugg????,https://scontent.cdninstagram.com/v/t51.29350-15/458595137_1257904845225984_1209753809551952709_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=100&_nc_ohc=kk7lCZ888qQQ7kNvgHr2mv9&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzQ1MDQ3MTM0NDQ3NzE3OTkzOA%3D%3D.3-ccb7-5&oh=00_AYBvYt3H2R7_oOVD3Vh-FZeZ_xB8FvxqAo075qcdyYWeLw&oe=66E2E738&_nc_sid=10d13b,mcdonaldscanada_3
/p/C_f4fbWOxO9/,see how excited u are? very mindful.,https://scontent.cdninstagram.com/v/t51.29350-15/457760476_1414537445885768_592198607052108527_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=IL_yXCQnRZEQ7kNvgHmIk2I&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzQ0OTcyNDI4OTg2MTQ4OTU5Nw%3D%3D.3-ccb7-5&oh=00_AYDaMS3QPLlm53rxbwASguf8n-phiSK0e9kfPicubmXm5g&oe=66E2ED3F&_nc_sid=10d13b,mcdonaldscanada_4
/p/C_dQ-J-uHbn/,these breakfast wraps got ur mornings going from😫 💤 😔🫠🥱to 😍 ✨💯👌🥰!!!! which one are u trying first??,https://scontent.cdninstagram.com/v/t51.29350-15/458299731_548124530988692_1270042645741888011_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=tCUp8Muh5s8Q7kNvgEPaGtx&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzQ0ODk4NzUyOTcwMzM1NjEzNQ%3D%3D.3-ccb7-5&oh=00_AYBCPcl6QlAPW19PISaJLe5Ez3EN5l7LNh4ayOUPfztg-A&oe=66E2BDA7&_nc_sid=10d13b,mcdonaldscanada_5
/reel/C_bAXydu3G9/,wrap ur head around this one tmr,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/458166318_1716735855533042_1071487364295756432_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=NxTvgkLH8IoQ7kNvgEcbe4O&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0ODM1MTU3NDQxNjEyNjM5Nw%3D%3D.3-ccb7-5&oh=00_AYBrOwAQw8rN_rxreaPDCa5COsQIxg_5_E1TnHxgC0CJUA&oe=66E2C1EB&_nc_sid=8f1549,mcdonaldscanada_6
/p/C_X9lOZukld/,"my end of summer is popping OFF (big thanks to the Vanilla Cone, ily)",https://scontent.cdninstagram.com/v/t51.29350-15/457847335_494921673302269_4290286111196193572_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45MDB4OTAwLnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&_nc_ohc=-8A4pBJxK-0Q7kNvgE44RjO&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzQ0NzQ5NDg3ODY5NzI0NTAyMQ%3D%3D.3-ccb7-5&oh=00_AYAoxep-bv7rdFSBWhoxkVDJL5aT26aWBWMxQe-tIrjlUA&oe=66E2E2CD&_nc_sid=10d13b,mcdonaldscanada_7
/reel/C_TLg6WOL0u/,the rest of the cups in ur cupboard are literally sooooooo jealous rn,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457381061_511499504862589_8920178882144102335_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=F99Y1H86DA8Q7kNvgF5v7sH&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NjE0ODc4MDA1MzI4MjA5NA%3D%3D.3-ccb7-5&oh=00_AYCUYcri1CuR0_WfOo8W_W8MiBcvqGpkQ1vAgvDo8puykA&oe=66E29C85&_nc_sid=8f1549,mcdonaldscanada_8
/reel/C_RADbav6ex/,it may soon be time to dust off ur big scarves and wide brimmed hats,https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457390193_1500770370798369_7664780348470934564_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=oPa2y2zJSTYQ7kNvgFVGkm6&_nc_gid=f7936c572dc24d6eb8fb6142178de6b1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NTUzNTQyNTUxMzM2NzQ3Mw%3D%3D.3-ccb7-5&oh=00_AYADnZrZds995iYm5DCZ0rMco4n4AwYkDimQWDbUIgE9qQ&oe=66E2A6AC&_nc_sid=8f1549,mcdonaldscanada_9
