url,imgAlt,imgSrc
/p/C_m8K6FqMH4/,How cool is that?!😍 Thanks gegette_and_co for visiting our McDrive!🐴 We hope the grass for your horse was just as tasty as your menu was for you.,https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/458744123_3889169128074915_7711474942549649834_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=VCn0pPVLCKEQ7kNvgFad15e&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ1MTcxMDczMzgxODc2Mjk4Nw%3D%3D.3-ccb7-5&oh=00_AYC7WWp_rPzEhjYNw9yA0UkvrtsbBr4BvlyBj_NLsRFCig&oe=66E2A25E&_nc_sid=8f1549
/p/C_khqGzNdqp/,"Photo by McDonald's Switzerland on September 06, 2024. May be a Twitter screenshot of text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/458611094_1187858855609857_1051457968182477598_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=ljHVKCohYgIQ7kNvgGT0uNL&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ1MTAzMTI0MzUyNzE1MDI0OQ%3D%3D.3-ccb7-5&oh=00_AYC2bCFeMFkffn3WOrJOZZpr6AwOVIL3toXdsaSS7ky67Q&oe=66E297AE&_nc_sid=8f1549
/p/C_fiZAqqWTu/,Sweet tooth alert! Please give a warm welcome to the Frappé Cappuccino Caramel 🎉,https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/457829738_1199186901287210_6523573168719714069_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ftomw-K6imEQ7kNvgGEFARQ&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0OTYyNzAyNTE1MDIwMTg2Mw%3D%3D.3-ccb7-5&oh=00_AYDDzg59bQ7TBVnLi4s_IduhoEBCyYQZXQs92jBUbpOENA&oe=66E29448&_nc_sid=8f1549
/p/C_co-f3KfTx/,"Photo by McDonald's Switzerland on September 03, 2024. May be a video game screenshot of card and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/457629359_499058036080792_9091294136493986820_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=9DXNlFZ4yNkQ7kNvgGw072E&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0ODgxMTYzMTMzODQ1MjIwOQ%3D%3D.3-ccb7-5&oh=00_AYAApIPfzhKR0SklpTmVGZJy0igEmIopl_y_KSDciscMKw&oe=66E290A5&_nc_sid=8f1549
/reel/C_XfZHNPrzc/,"Which shape do you prefer? Mine is the bell 🔔

Thank you @sh.kurtaj and @liebestorten_bern from the Köniz McDonald's: challenge completed!",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457735086_533030902632005_7326050742350046939_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=p9PFcmJyTEcQ7kNvgFqf7zZ&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NzM2MjEwNDk0MjU3NDgxMjEwNDQ5Mzg4NDcwNzI5OTY%3D.3-ccb7-5&oh=00_AYBEdM4LflczFQLZ0k7WCQh9ONiiBxCyiSIGIIYN2JMaKg&oe=66E2AD81&_nc_sid=8f1549
/p/C_U6mCnKSMF/,"Photo by McDonald's Switzerland on August 31, 2024. May be an image of signboard, poster and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/457671812_3878734172393278_8562366473828261804_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Gzd_UJpu3nMQ7kNvgGzqIZr&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NjYzNzMxNTY4NzUyMzA3Nw%3D%3D.3-ccb7-5&oh=00_AYD2y0tPhTGDggf5NKoOKR7HhheU6OKNIrr0RheSJVCYwg&oe=66E28BB4&_nc_sid=8f1549
/p/C_SgGEsKqgl/,"Photo by McDonald's Switzerland on August 30, 2024. May be an image of burger, french fries and text that says 'Weasked,youdelivered We asked, you delivered WHERE DO YOU PUT YOUR KETCHИp? 1. On the fries 20% % 20 2. On your burger 7% 3. On the packaging 54% 4. On the tray 19% %'.",https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/457489449_384469364491006_3128586833716776070_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=kpUHLiAEXXgQ7kNvgF0Psxi&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NTk1NzgxOTczMzAyNjg1Mw%3D%3D.3-ccb7-5&oh=00_AYDlRHsvrWdazuKRnCbfs3wv8cOXdaUtksLRh4gYLxoogg&oe=66E2A7F8&_nc_sid=8f1549
/reel/C_P7Tl1RgNR/,"Follow me, I'll take you to a wonderfully tasty place.",https://scontent-tpe1-1.cdninstagram.com/v/t51.29350-15/457382304_529173379526709_1177137054200205854_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ycc0SstSpe4Q7kNvgF4GPcg&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0NTIzMzA3MDk5ODE2MDIwOTgxNDMxOTAyNDEyMDU1MA%3D%3D.3-ccb7-5&oh=00_AYA3-O1wxKC19o6jvxerUE8zkR27DsvOfFF8AHQAHMvWYA&oe=66E2A557&_nc_sid=8f1549
/p/C-76taFKy2o/,"Photo by McDonald's Switzerland on August 21, 2024. May be an image of chicken, burger and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/456207889_885510333444193_5699004700897479411_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=aahMezD62BwQ7kNvgG3AB1j&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzOTYwMDk0NzUwNTYwNjA1Ng%3D%3D.3-ccb7-5&oh=00_AYCZm_I7SkHlOF2liT-1tp5AS7X6DzFwnDQxMExiTNvbhg&oe=66E2BD73&_nc_sid=8f1549
/p/C-4wJmWOYLB/,"Photo by McDonald's Switzerland on August 20, 2024. May be an image of 2 people and text.",https://scontent-tpe1-1.cdninstagram.com/v/t51.2885-15/456204764_1168456714262829_9056032841220991198_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-tpe1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=LI96EGLwnHkQ7kNvgHUpYDY&_nc_gid=fb8a64168a984aa4824ba500a5e68536&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzODcxMDA4MTM4MDI1NDQwMQ%3D%3D.3-ccb7-5&oh=00_AYCRW4iaF-SBJr1Z710Wzg8ysCO2PE3-iOYyYpVM8xvQlQ&oe=66E2A6A8&_nc_sid=8f1549
